Date,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)",Is_Service_National,Is_Service_International,Year,month
2018-01,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,168.0,112,0,13,9.105128205,0.653422619,21,25.95952381,5.868154762,14,5.868154762,5,2,16.66666667,38.88888889,22.22222222,16.66666667,5.555555556,0.0,True,False,2018,1
2018-01,PARIS LYON,TOULON,239.0,221,2,27,13.03888889,1.269254186,30,41.18388889,7.635159817,30,7.635159817,18,4,39.286,35.71428571,7.142857143,10.71428571,3.571428571,3.571428571,True,False,2018,1
2018-01,MARSEILLE ST CHARLES,MADRID,464.0,15,0,1,13.96666667,1.165555556,3,28.0,3.2,3,3.2,1,0,0.0,0.0,100.0,0.0,0.0,0.0,False,True,2018,1
2018-01,PARIS EST,FRANCFORT,226.0,177,2,19,6.242105263,0.611428571,20,29.3,7.836380952,20,7.836380952,6,2,30.0,30.0,25.0,15.0,0.0,0.0,False,True,2018,1
2018-02,PARIS MONTPARNASSE,QUIMPER,221.0,237,11,50,19.69066667,4.01120944,49,51.06122449,12.84513274,49,12.78854626,28,11,46.93877551,26.53061224,12.24489796,12.24489796,2.040816327,0.0,True,False,2018,2
2018-02,PARIS MONTPARNASSE,RENNES,98.0,547,32,117,18.19316239,3.889644013,156,34.35,11.62252427,88,11.55521236,48,24,52.0,21.6,11.2,12.8,1.6,0.8,True,False,2018,2
2018-02,QUIMPER,PARIS MONTPARNASSE,222.0,220,7,18,9.388888889,0.79342723,44,49.8719697,13.12488263,44,13.12488263,19,11,55.55555556,27.77777778,8.333333333,5.555555556,2.777777778,0.0,True,False,2018,2
2018-02,RENNES,LYON PART DIEU,234.0,83,0,36,6.746296296,2.914056225,16,60.34895833,12.41646586,16,12.41646586,14,3,50.0,18.75,12.5,18.75,0.0,0.0,True,False,2018,2
2018-02,TOURS,PARIS MONTPARNASSE,75.0,177,10,22,5.658333333,0.809281437,53,25.25251572,8.877744511,25,8.877744511,14,6,66.66666667,13.33333333,10.0,3.333333333,6.666666667,0.0,True,False,2018,2
2018-02,NANCY,PARIS EST,93.0,276,3,67,9.402487562,4.04,57,23.80263158,6.326923077,36,6.326923077,13,5,64.1509434,9.433962264,16.98113208,7.547169811,1.886792453,0.0,True,False,2018,2
2018-02,PARIS EST,METZ,84.0,275,8,66,13.19823232,3.21329588,64,23.0171875,5.581835206,41,5.581835206,14,4,63.79310345,1.724137931,6.896551724,24.13793103,3.448275862,0.0,True,False,2018,2
2018-02,DUNKERQUE,PARIS NORD,116.0,228,5,16,5.8125,0.419431988,37,28.46486486,6.785127055,23,6.785127055,9,4,56.25,12.5,12.5,12.5,3.125,3.125,True,False,2018,2
2018-02,LYON PART DIEU,LILLE,192.0,265,2,208,10.98573718,8.77103929,85,34.69823529,13.42636248,84,13.42636248,42,6,45.33333333,18.66666667,18.66666667,14.66666667,1.333333333,1.333333333,True,False,2018,2
2018-02,MARSEILLE ST CHARLES,LILLE,309.0,167,2,37,9.29954955,2.058484848,50,35.56533333,12.93,50,12.93,25,4,44.0,26.0,20.0,8.0,0.0,2.0,True,False,2018,2
